Oblast,Raion,Hromada,Settlement,Population
Poltavska,Kremenchutskyi,Semenivska,Hrebli,255
Poltavska,Kremenchutskyi,Semenivska,Hrytsai,34
Poltavska,Kremenchutskyi,Semenivska,Kalynivka,330
Poltavska,Kremenchutskyi,Semenivska,Karpykha,152
Poltavska,Kremenchutskyi,Semenivska,Kryva Ruda,1345
Poltavska,Kremenchutskyi,Semenivska,Kurhanne,101
Poltavska,Kremenchutskyi,Semenivska,Mali Lypniahy,376
Poltavska,Kremenchutskyi,Semenivska,Malynivka,306
Poltavska,Kremenchutskyi,Semenivska,Nova Oleksandrivka,46
Poltavska,Kremenchutskyi,Semenivska,Nova Petrivka,182
Poltavska,Kremenchutskyi,Semenivska,Novoselytsia,492
Poltavska,Kremenchutskyi,Semenivska,Ocheretuvate,837
Poltavska,Kremenchutskyi,Semenivska,Osokory,45
Poltavska,Kremenchutskyi,Semenivska,Panivanivka,887
Poltavska,Kremenchutskyi,Semenivska,Podil,232
Poltavska,Kremenchutskyi,Semenivska,Rokyty,400
Poltavska,Kremenchutskyi,Semenivska,Semenivka,5776
Poltavska,Kremenchutskyi,Semenivska,Seredyne,48
Poltavska,Kremenchutskyi,Semenivska,Shepelivka,88
Poltavska,Kremenchutskyi,Semenivska,Sliuzivka,84
Poltavska,Kremenchutskyi,Semenivska,Stepanivka,541
Poltavska,Kremenchutskyi,Semenivska,Tarasivka,347
Poltavska,Kremenchutskyi,Semenivska,Tovste,296
Poltavska,Kremenchutskyi,Semenivska,Troiniaky,98
Poltavska,Kremenchutskyi,Semenivska,Ustymivka,690
Poltavska,Kremenchutskyi,Semenivska,Vasylivka,716
Poltavska,Kremenchutskyi,Semenivska,Velyki Lypniahy,381
Poltavska,Kremenchutskyi,Semenivska,Verbky,565
Poltavska,Kremenchutskyi,Semenivska,Veremiivka,991
Poltavska,Kremenchutskyi,Semenivska,Veselyi Podil,1196
Poltavska,Kremenchutskyi,Semenivska,Vilne,347
Poltavska,Kremenchutskyi,Semenivska,Yehorivka,330
Poltavska,Kremenchutskyi,Semenivska,Zaichyntsi,632
Poltavska,Lubenskyi,Chornukhynska,Bilousivka,432
Poltavska,Lubenskyi,Chornukhynska,Bohdanivka,29
Poltavska,Lubenskyi,Chornukhynska,Bohodarivka,356
Poltavska,Lubenskyi,Chornukhynska,Bondari,232
Poltavska,Lubenskyi,Chornukhynska,Bubny,318
Poltavska,Lubenskyi,Chornukhynska,Chaplynka,44
Poltavska,Lubenskyi,Chornukhynska,Chornukhy,2384
Poltavska,Lubenskyi,Chornukhynska,Haiky,3
Poltavska,Lubenskyi,Chornukhynska,Haliave,502
Poltavska,Lubenskyi,Chornukhynska,Hiltsi,904
Poltavska,Lubenskyi,Chornukhynska,Holotivshchyna,44
Poltavska,Lubenskyi,Chornukhynska,Horodyshche,497
Poltavska,Lubenskyi,Chornukhynska,Kharsiky,948
Poltavska,Lubenskyi,Chornukhynska,Kheilivshchyna,463
Poltavska,Lubenskyi,Chornukhynska,Kizlivka,840
Poltavska,Lubenskyi,Chornukhynska,Kovali,888
Poltavska,Lubenskyi,Chornukhynska,Krasne,237
Poltavska,Lubenskyi,Chornukhynska,Lisova Slobidka,98
Poltavska,Lubenskyi,Chornukhynska,Luhovyky,502
Poltavska,Lubenskyi,Chornukhynska,Lypove,48
Poltavska,Lubenskyi,Chornukhynska,Melekhy,437
Poltavska,Lubenskyi,Chornukhynska,Mokiivka,503
Poltavska,Lubenskyi,Chornukhynska,Nekhrystivka,60
Poltavska,Lubenskyi,Chornukhynska,Nova Dibrova,102
Poltavska,Lubenskyi,Chornukhynska,Nova Petrivshchyna,106
Poltavska,Lubenskyi,Chornukhynska,Oleksandrivka,108
Poltavska,Lubenskyi,Chornukhynska,Osniah,164
Poltavska,Lubenskyi,Chornukhynska,Patsaly,90
Poltavska,Lubenskyi,Chornukhynska,Pisky-Udaiski,358
Poltavska,Lubenskyi,Chornukhynska,Piznyky,461
Poltavska,Lubenskyi,Chornukhynska,Postav-Muka,505
Poltavska,Lubenskyi,Chornukhynska,Sukha Lokhvytsia,21
Poltavska,Lubenskyi,Chornukhynska,Sukhonosivka,378
Poltavska,Lubenskyi,Chornukhynska,Syniakivshchyna,119
Poltavska,Lubenskyi,Chornukhynska,Voronky,1287
Poltavska,Lubenskyi,Chornukhynska,Yatsiukove,1
Poltavska,Lubenskyi,Chornukhynska,Zahrebellia,366
Poltavska,Lubenskyi,Hrebinkivska,Berezivka,363
Poltavska,Lubenskyi,Hrebinkivska,Besidivshchyna,142
Poltavska,Lubenskyi,Hrebinkivska,Horby,58
Poltavska,Lubenskyi,Hrebinkivska,Hrebinka,10541
Poltavska,Lubenskyi,Hrebinkivska,Hrushkivka,242
Poltavska,Lubenskyi,Hrebinkivska,Hryhorivka,338
Poltavska,Lubenskyi,Hrebinkivska,Hulakivka,53
Poltavska,Lubenskyi,Hrebinkivska,Kalynivka,414
Poltavska,Lubenskyi,Hrebinkivska,Korniivka,545
Poltavska,Lubenskyi,Hrebinkivska,Korovai,847
Poltavska,Lubenskyi,Hrebinkivska,Kulazhyntsi,555
Poltavska,Lubenskyi,Hrebinkivska,Lutaika,254
Poltavska,Lubenskyi,Hrebinkivska,Maiorshchyna,886
Poltavska,Lubenskyi,Hrebinkivska,Marianivka,540
Poltavska,Lubenskyi,Hrebinkivska,Mykhailivka,81
Poltavska,Lubenskyi,Hrebinkivska,Natalivka,242
Poltavska,Lubenskyi,Hrebinkivska,Novodar,128
Poltavska,Lubenskyi,Hrebinkivska,Novoselivka,24
Poltavska,Lubenskyi,Hrebinkivska,Oleksandrivka,273
Poltavska,Lubenskyi,Hrebinkivska,Orzhytsia,3378
Poltavska,Lubenskyi,Hrebinkivska,Osavulshchyna,114
Poltavska,Lubenskyi,Hrebinkivska,Ovsiuky,810
Poltavska,Lubenskyi,Hrebinkivska,Pavlivshchyna,207
Poltavska,Lubenskyi,Hrebinkivska,Pochaivka,886
Poltavska,Lubenskyi,Hrebinkivska,Pokrovshchyna,232
Poltavska,Lubenskyi,Hrebinkivska,Polove,113
Poltavska,Lubenskyi,Hrebinkivska,Pysarshchyna,161
Poltavska,Lubenskyi,Hrebinkivska,Rudka,668
Poltavska,Lubenskyi,Hrebinkivska,Saivka,33
Poltavska,Lubenskyi,Hrebinkivska,Serbynivka,607
Poltavska,Lubenskyi,Hrebinkivska,Simaky,165
Poltavska,Lubenskyi,Hrebinkivska,Skochak,29
Poltavska,Lubenskyi,Hrebinkivska,Sliporid-Ivanivka,569
Poltavska,Lubenskyi,Hrebinkivska,Slobodo-Petrivka,783
Poltavska,Lubenskyi,Hrebinkivska,Sotnytske,141
Poltavska,Lubenskyi,Hrebinkivska,Stukalivka,432
Poltavska,Lubenskyi,Hrebinkivska,Svitanok,395
Poltavska,Lubenskyi,Hrebinkivska,Tarasivka,1001
Poltavska,Lubenskyi,Hrebinkivska,Topoleve,483
Poltavska,Lubenskyi,Hrebinkivska,Vidradne,202
Poltavska,Lubenskyi,Hrebinkivska,Vysoke,89
Poltavska,Lubenskyi,Hrebinkivska,Zahrebellia,244
Poltavska,Lubenskyi,Khorolska,Andriivka,488
Poltavska,Lubenskyi,Khorolska,Barylivshchyna,6
Poltavska,Lubenskyi,Khorolska,Barylove,74
Poltavska,Lubenskyi,Khorolska,Berezniaky,884
Poltavska,Lubenskyi,Khorolska,Bochky,111
Poltavska,Lubenskyi,Khorolska,Bovbasivka,366
Poltavska,Lubenskyi,Khorolska,Bryhadyrivka,491
Poltavska,Lubenskyi,Khorolska,Bubereve,42
Poltavska,Lubenskyi,Khorolska,Burlaky,35
Poltavska,Lubenskyi,Khorolska,Butivtsi,535
Poltavska,Lubenskyi,Khorolska,Chervone,75
Poltavska,Lubenskyi,Khorolska,Datsii,18
Poltavska,Lubenskyi,Khorolska,Demyna Balka,147
Poltavska,Lubenskyi,Khorolska,Dubove,131
Poltavska,Lubenskyi,Khorolska,Hlyboka Dolyna,129
Poltavska,Lubenskyi,Khorolska,Hrushyne,428
Poltavska,Lubenskyi,Khorolska,Hryhorivka,33
Poltavska,Lubenskyi,Khorolska,Hyryne,52
Poltavska,Lubenskyi,Khorolska,Ivantsi,43
Poltavska,Lubenskyi,Khorolska,Ivashchenky,181
Poltavska,Lubenskyi,Khorolska,Khomenky,98
Poltavska,Lubenskyi,Khorolska,Khorol,12540
Poltavska,Lubenskyi,Khorolska,Khvoshchivka,530
Poltavska,Lubenskyi,Khorolska,Khylkivka,658
Poltavska,Lubenskyi,Khorolska,Klepachi,802
Poltavska,Lubenskyi,Khorolska,Kniazha Luka,337
Poltavska,Lubenskyi,Khorolska,Kolomiitseve Ozero,128
Poltavska,Lubenskyi,Khorolska,Kostiuky,164
Poltavska,Lubenskyi,Khorolska,Kovali,778
Poltavska,Lubenskyi,Khorolska,Kovtuny,196
Poltavska,Lubenskyi,Khorolska,Kozubivka,567
Poltavska,Lubenskyi,Khorolska,Kryvtsi,348
Poltavska,Lubenskyi,Khorolska,Kulyky,92
Poltavska,Lubenskyi,Khorolska,Kulynychi,80
Poltavska,Lubenskyi,Khorolska,Kutorzhykha,258
Poltavska,Lubenskyi,Khorolska,Lahodivka,175
Poltavska,Lubenskyi,Khorolska,Lazky,201
Poltavska,Lubenskyi,Khorolska,Levchenky,65
Poltavska,Lubenskyi,Khorolska,Lisianshchyna,167
Poltavska,Lubenskyi,Khorolska,Lobkova Balka,59
Poltavska,Lubenskyi,Khorolska,Lozy,31
Poltavska,Lubenskyi,Khorolska,Mala Popivka,142
Poltavska,Lubenskyi,Khorolska,Martynivka,11
Poltavska,Lubenskyi,Khorolska,Meliushky,431
Poltavska,Lubenskyi,Khorolska,Musiivka,473
Poltavska,Lubenskyi,Khorolska,Mykolaivka,58
Poltavska,Lubenskyi,Khorolska,Myshchenky,34
Poltavska,Lubenskyi,Khorolska,Nastasivka,189
Poltavska,Lubenskyi,Khorolska,Natalivka,188
Poltavska,Lubenskyi,Khorolska,Novachykha,588
Poltavska,Lubenskyi,Khorolska,Novoavramivka,1069
Poltavska,Lubenskyi,Khorolska,Novoivanivka,537
Poltavska,Lubenskyi,Khorolska,Novyi Bairak,219
Poltavska,Lubenskyi,Khorolska,Orikhivshchyna,20
Poltavska,Lubenskyi,Khorolska,Orlykivshchyna,319
Poltavska,Lubenskyi,Khorolska,Ostapenky,100
Poltavska,Lubenskyi,Khorolska,Padusi,32
Poltavska,Lubenskyi,Khorolska,Pavlenky,20
Poltavska,Lubenskyi,Khorolska,Pavlivka,257
Poltavska,Lubenskyi,Khorolska,Petrakiivka,415
Poltavska,Lubenskyi,Khorolska,Pokrovska Bahachka,1369
Poltavska,Lubenskyi,Khorolska,Popivka,497
Poltavska,Lubenskyi,Khorolska,Prystan,154
Poltavska,Lubenskyi,Khorolska,Radky,151
Poltavska,Lubenskyi,Khorolska,Roplianske,24
Poltavska,Lubenskyi,Khorolska,Rybchenky,31
Poltavska,Lubenskyi,Khorolska,Sadove,265
Poltavska,Lubenskyi,Khorolska,Serednie,29
Poltavska,Lubenskyi,Khorolska,Sharkivshchyna,52
Poltavska,Lubenskyi,Khorolska,Shkyli,317
Poltavska,Lubenskyi,Khorolska,Shtompelivka,913
Poltavska,Lubenskyi,Khorolska,Shyroke,30
Poltavska,Lubenskyi,Khorolska,Shyshaky,941
Poltavska,Lubenskyi,Khorolska,Sofyne,183
Poltavska,Lubenskyi,Khorolska,Staiky,161
Poltavska,Lubenskyi,Khorolska,Stara Musiivka,10
Poltavska,Lubenskyi,Khorolska,Staroavramivka,564
Poltavska,Lubenskyi,Khorolska,Stavky,128
Poltavska,Lubenskyi,Khorolska,Tarasivka,500
Poltavska,Lubenskyi,Khorolska,Tretiakove,59
Poltavska,Lubenskyi,Khorolska,Trubaitsi,729
Poltavska,Lubenskyi,Khorolska,Vanzhyna Dolyna,33
Poltavska,Lubenskyi,Khorolska,Varvarivka,18
Poltavska,Lubenskyi,Khorolska,Verbyne,166
Poltavska,Lubenskyi,Khorolska,Verhuny,578
Poltavska,Lubenskyi,Khorolska,Viazivok,207
Poltavska,Lubenskyi,Khorolska,Vyshneve,619
Poltavska,Lubenskyi,Khorolska,Vyshniaky,2108
Poltavska,Lubenskyi,Khorolska,Yalosovetske,725
Poltavska,Lubenskyi,Khorolska,Yenky,341
Poltavska,Lubenskyi,Khorolska,Yerkivtsi,276
Poltavska,Lubenskyi,Khorolska,Zaporozhchyne,115
Poltavska,Lubenskyi,Khorolska,Zubenky,40
Poltavska,Lubenskyi,Lubenska,Barvinshchyna,72
Poltavska,Lubenskyi,Lubenska,Berezivka,514
Poltavska,Lubenskyi,Lubenska,Berezotocha,1527
Poltavska,Lubenskyi,Lubenska,Brovarky,82
Poltavska,Lubenskyi,Lubenska,Cherneche,26
Poltavska,Lubenskyi,Lubenska,Chudnivtsi,316
Poltavska,Lubenskyi,Lubenska,Iskivtsi,896
Poltavska,Lubenskyi,Lubenska,Kalaidyntsi,1014
Poltavska,Lubenskyi,Lubenska,Khaleptsi,218
Poltavska,Lubenskyi,Lubenska,Khoroshky,817
Poltavska,Lubenskyi,Lubenska,Khyttsi,275
Poltavska,Lubenskyi,Lubenska,Klepachi,598
Poltavska,Lubenskyi,Lubenska,Kononivka,153
Poltavska,Lubenskyi,Lubenska,Kremianka,274
Poltavska,Lubenskyi,Lubenska,Krevelivka,110
Poltavska,Lubenskyi,Lubenska,Krutyi Bereh,286
Poltavska,Lubenskyi,Lubenska,Kupievakha,129
Poltavska,Lubenskyi,Lubenska,Kuzubivka,56
Poltavska,Lubenskyi,Lubenska,Lomaky,233
Poltavska,Lubenskyi,Lubenska,Lubny,44089
Poltavska,Lubenskyi,Lubenska,Luky,262
Poltavska,Lubenskyi,Lubenska,Lushnyky,95
Poltavska,Lubenskyi,Lubenska,Lytviaky,822
Poltavska,Lubenskyi,Lubenska,Malyi Viazivok,153
Poltavska,Lubenskyi,Lubenska,Matiashivka,173
Poltavska,Lubenskyi,Lubenska,Matskivtsi,812
Poltavska,Lubenskyi,Lubenska,Matskova Luchka,109
Poltavska,Lubenskyi,Lubenska,Mhar,458
Poltavska,Lubenskyi,Lubenska,Mykhnivtsi,886
Poltavska,Lubenskyi,Lubenska,Nazarivka,58
Poltavska,Lubenskyi,Lubenska,Novaky,1071
Poltavska,Lubenskyi,Lubenska,Nyzhnii Bulatets,831
Poltavska,Lubenskyi,Lubenska,Okip,579
Poltavska,Lubenskyi,Lubenska,Oleksandrivka,618
Poltavska,Lubenskyi,Lubenska,Orikhivka,1589
Poltavska,Lubenskyi,Lubenska,Piatyhirtsi,259
Poltavska,Lubenskyi,Lubenska,Pisky,640
Poltavska,Lubenskyi,Lubenska,Pokrovske,262
Poltavska,Lubenskyi,Lubenska,Polohy,95
Poltavska,Lubenskyi,Lubenska,Pulyntsi,307
Poltavska,Lubenskyi,Lubenska,Pyshne,138
Poltavska,Lubenskyi,Lubenska,Remivka,2
Poltavska,Lubenskyi,Lubenska,Seliukiv,24
Poltavska,Lubenskyi,Lubenska,Shershnivka,602
Poltavska,Lubenskyi,Lubenska,Shynkivshchyna,99
Poltavska,Lubenskyi,Lubenska,Snityn,940
Poltavska,Lubenskyi,Lubenska,Snityne,270
Poltavska,Lubenskyi,Lubenska,Solonytsia,1002
Poltavska,Lubenskyi,Lubenska,Stadnia,150
Poltavska,Lubenskyi,Lubenska,Sukha Solonytsia,133
Poltavska,Lubenskyi,Lubenska,Svichkivka,32
Poltavska,Lubenskyi,Lubenska,Ternivshchyna,401
Poltavska,Lubenskyi,Lubenska,Terny,471
Poltavska,Lubenskyi,Lubenska,Totchyne,36
Poltavska,Lubenskyi,Lubenska,Tyshky,318
Poltavska,Lubenskyi,Lubenska,Viazivok,549
Poltavska,Lubenskyi,Lubenska,Vilshanka,507
Poltavska,Lubenskyi,Lubenska,Voinykha,1031
Poltavska,Lubenskyi,Lubenska,Vovcha Dolyna,114
Poltavska,Lubenskyi,Lubenska,Vovchyk,1484
Poltavska,Lubenskyi,Lubenska,Vysachky,297
Poltavska,Lubenskyi,Lubenska,Vyshchyi Bulatets,1137
Poltavska,Lubenskyi,Lubenska,Zasullia,4516
Poltavska,Lubenskyi,Novoorzhytska,Biivtsi,285
Poltavska,Lubenskyi,Novoorzhytska,Bohodarivka,294
Poltavska,Lubenskyi,Novoorzhytska,Cherevky,221
Poltavska,Lubenskyi,Novoorzhytska,Dukhove,429
Poltavska,Lubenskyi,Novoorzhytska,Hintsi,221
Poltavska,Lubenskyi,Novoorzhytska,Horobii,98
Poltavska,Lubenskyi,Novoorzhytska,Hubske,548
Poltavska,Lubenskyi,Novoorzhytska,Ivanivka,194
Poltavska,Lubenskyi,Novoorzhytska,Karpylivka,390
Poltavska,Lubenskyi,Novoorzhytska,Khoroshky,361
Poltavska,Lubenskyi,Novoorzhytska,Khoruzhivka,245
Poltavska,Lubenskyi,Novoorzhytska,Kotliarevske,112
Poltavska,Lubenskyi,Novoorzhytska,Kozache,220
Poltavska,Lubenskyi,Novoorzhytska,Lazirky,2768
Poltavska,Lubenskyi,Novoorzhytska,Makarivshchyna,3
Poltavska,Lubenskyi,Novoorzhytska,Maksymivshchyna,49
Poltavska,Lubenskyi,Novoorzhytska,Neseno-Irzhavets,272
Poltavska,Lubenskyi,Novoorzhytska,Nove,134
Poltavska,Lubenskyi,Novoorzhytska,Novoorzhytske,1689
Poltavska,Lubenskyi,Novoorzhytska,Novoselivka,300
Poltavska,Lubenskyi,Novoorzhytska,Ostapivka,454
Poltavska,Lubenskyi,Novoorzhytska,Pryimivshchyna,175
Poltavska,Lubenskyi,Novoorzhytska,Sliporid,53
Poltavska,Lubenskyi,Novoorzhytska,Stepuri,33
Poltavska,Lubenskyi,Novoorzhytska,Tarandyntsi,785
Poltavska,Lubenskyi,Novoorzhytska,Tymky,382
Poltavska,Lubenskyi,Novoorzhytska,Voronyntsi,279
Poltavska,Lubenskyi,Novoorzhytska,Vyly,276
Poltavska,Lubenskyi,Novoorzhytska,Vyshneve,1337
Poltavska,Lubenskyi,Novoorzhytska,Yenkivtsi,321
Poltavska,Lubenskyi,Novoorzhytska,Zarichchia,40
Poltavska,Lubenskyi,Orzhytska,Chaikivshchyna,836
Poltavska,Lubenskyi,Orzhytska,Chevelcha,837
Poltavska,Lubenskyi,Orzhytska,Chmykhalove,140
Poltavska,Lubenskyi,Orzhytska,Chutivka,1118
Poltavska,Lubenskyi,Orzhytska,Denysivka,884
Poltavska,Lubenskyi,Orzhytska,Dmytrivka,74
Poltavska,Lubenskyi,Orzhytska,Hrabiv,79
Poltavska,Lubenskyi,Orzhytska,Kolodna,41
Poltavska,Lubenskyi,Orzhytska,Krupoderyntsi,1028
Poltavska,Lubenskyi,Orzhytska,Lukimia,628
Poltavska,Lubenskyi,Orzhytska,Maiakivka,358
Poltavska,Lubenskyi,Orzhytska,Maloseletske,257
Poltavska,Lubenskyi,Orzhytska,Novyi Irzhavets,409
Poltavska,Lubenskyi,Orzhytska,Nyzhnii Irzhavets,188
Poltavska,Lubenskyi,Orzhytska,Onishky,927
Poltavska,Lubenskyi,Orzhytska,Orzhytsia,3572
Poltavska,Lubenskyi,Orzhytska,Plekhiv,716
Poltavska,Lubenskyi,Orzhytska,Poluniivka,139
Poltavska,Lubenskyi,Orzhytska,Pylypovychi,175
Poltavska,Lubenskyi,Orzhytska,Raiozero,563
Poltavska,Lubenskyi,Orzhytska,Savyntsi,805
Poltavska,Lubenskyi,Orzhytska,Sazonivka,1019
Poltavska,Lubenskyi,Orzhytska,Staryi Irzhavets,671
Poltavska,Lubenskyi,Orzhytska,Tarasenkove,640
Poltavska,Lubenskyi,Orzhytska,Tarasivka,327
Poltavska,Lubenskyi,Orzhytska,Teremetske,24
Poltavska,Lubenskyi,Orzhytska,Velykoseletske,706
Poltavska,Lubenskyi,Orzhytska,Yabluneve,597
Poltavska,Lubenskyi,Orzhytska,Zahrebellia,184
Poltavska,Lubenskyi,Orzhytska,Zahreblia,32
Poltavska,Lubenskyi,Orzhytska,Zaluzhne,34
Poltavska,Lubenskyi,Orzhytska,Zarih,1498
Poltavska,Lubenskyi,Orzhytska,Zolotukhy,477
Poltavska,Lubenskyi,Pyriatynska,Arkhemivka,96
Poltavska,Lubenskyi,Pyriatynska,Berezova Rudka,1962
Poltavska,Lubenskyi,Pyriatynska,Bilotserkivtsi,398
Poltavska,Lubenskyi,Pyriatynska,Chervone,15
Poltavska,Lubenskyi,Pyriatynska,Davydivka,775
Poltavska,Lubenskyi,Pyriatynska,Deimanivka,637
Poltavska,Lubenskyi,Pyriatynska,Hrabarivka,630
Poltavska,Lubenskyi,Pyriatynska,Hurbyntsi,325
Poltavska,Lubenskyi,Pyriatynska,Kalyniv Mist,434
Poltavska,Lubenskyi,Pyriatynska,Kaplyntsi,479
Poltavska,Lubenskyi,Pyriatynska,Keibalivka,359
Poltavska,Lubenskyi,Pyriatynska,Kharkivtsi,651
Poltavska,Lubenskyi,Pyriatynska,Kriachkivka,470
Poltavska,Lubenskyi,Pyriatynska,Kroty,340
Poltavska,Lubenskyi,Pyriatynska,Kurinka,337
Poltavska,Lubenskyi,Pyriatynska,Leliaky,175
Poltavska,Lubenskyi,Pyriatynska,Mala Krucha,47
Poltavska,Lubenskyi,Pyriatynska,Maliutyntsi,753
Poltavska,Lubenskyi,Pyriatynska,Marinske,96
Poltavska,Lubenskyi,Pyriatynska,Mechenky,86
Poltavska,Lubenskyi,Pyriatynska,Mohylivshchyna,21
Poltavska,Lubenskyi,Pyriatynska,Netrativka,133
Poltavska,Lubenskyi,Pyriatynska,Novi Martynovychi,1000
Poltavska,Lubenskyi,Pyriatynska,Novoselivka,61
Poltavska,Lubenskyi,Pyriatynska,Oleksandrivka,503
Poltavska,Lubenskyi,Pyriatynska,Perevidne,158
Poltavska,Lubenskyi,Pyriatynska,Povstyn,566
Poltavska,Lubenskyi,Pyriatynska,Prykhidky,474
Poltavska,Lubenskyi,Pyriatynska,Pyriatyn,14988
Poltavska,Lubenskyi,Pyriatynska,Rivne,93
Poltavska,Lubenskyi,Pyriatynska,Sasynivka,709
Poltavska,Lubenskyi,Pyriatynska,Shkuraty,15
Poltavska,Lubenskyi,Pyriatynska,Skybyntsi,149
Poltavska,Lubenskyi,Pyriatynska,Smotryky,950
Poltavska,Lubenskyi,Pyriatynska,Teplivka,1062
Poltavska,Lubenskyi,Pyriatynska,Usivka,267
Poltavska,Lubenskyi,Pyriatynska,Vechirky,370
Poltavska,Lubenskyi,Pyriatynska,Velyka Krucha,1861
Poltavska,Lubenskyi,Pyriatynska,Verkhoiarivka,241
Poltavska,Lubenskyi,Pyriatynska,Viktoriia,1037
Poltavska,Lubenskyi,Pyriatynska,Vyshneve,583
Poltavska,Lubenskyi,Pyriatynska,Vysoke,131
Poltavska,Lubenskyi,Pyriatynska,Yatsyny,501
Poltavska,Lubenskyi,Pyriatynska,Yivzhenky,1
Poltavska,Lubenskyi,Pyriatynska,Zamostyshche,231
Poltavska,Lubenskyi,Pyriatynska,Zarichchia,266
Poltavska,Myrhorodskyi,Bilotserkivska,Andrushchyne,13
Poltavska,Myrhorodskyi,Bilotserkivska,Balakliia,500
Poltavska,Myrhorodskyi,Bilotserkivska,Balandy,36
Poltavska,Myrhorodskyi,Bilotserkivska,Bilotserkivka,688
Poltavska,Myrhorodskyi,Bilotserkivska,Birky,508
Poltavska,Myrhorodskyi,Bilotserkivska,Dziubivshchyna,286
Poltavska,Myrhorodskyi,Bilotserkivska,Herusivka,90
Poltavska,Myrhorodskyi,Bilotserkivska,Hovory,140
Poltavska,Myrhorodskyi,Bilotserkivska,Kolosivka,154
Poltavska,Myrhorodskyi,Bilotserkivska,Konoplianka,233
Poltavska,Myrhorodskyi,Bilotserkivska,Korniienky,388
Poltavska,Myrhorodskyi,Bilotserkivska,Krasnohorivka,903
Poltavska,Myrhorodskyi,Bilotserkivska,Kravchenky,178
Poltavska,Myrhorodskyi,Bilotserkivska,Luhove,131
Poltavska,Myrhorodskyi,Bilotserkivska,Morozivshchyna,61
Poltavska,Myrhorodskyi,Bilotserkivska,Mostovivshchyna,367
Poltavska,Myrhorodskyi,Bilotserkivska,Ohyrivka,387
Poltavska,Myrhorodskyi,Bilotserkivska,Podil,665
Poltavska,Myrhorodskyi,Bilotserkivska,Popove,439
Poltavska,Myrhorodskyi,Bilotserkivska,Pysarivshchyna,50
Poltavska,Myrhorodskyi,Bilotserkivska,Rokyta,926
Poltavska,Myrhorodskyi,Bilotserkivska,Shpyrny,6
Poltavska,Myrhorodskyi,Bilotserkivska,Shyposhi,8
Poltavska,Myrhorodskyi,Bilotserkivska,Stinky,76
Poltavska,Myrhorodskyi,Bilotserkivska,Sydorivshchyna,71
Poltavska,Myrhorodskyi,Bilotserkivska,Trudoliubyve,6
Poltavska,Myrhorodskyi,Bilotserkivska,Tsykaly,34
Poltavska,Myrhorodskyi,Bilotserkivska,Vyshari,98
Poltavska,Myrhorodskyi,Bilotserkivska,Vyshniakivka,55
Poltavska,Myrhorodskyi,Hadiatska,Bilenchenkivka,776
Poltavska,Myrhorodskyi,Hadiatska,Butovycheske,56
Poltavska,Myrhorodskyi,Hadiatska,Chervonyi Kut,127
Poltavska,Myrhorodskyi,Hadiatska,Dontsivshchyna,35
Poltavska,Myrhorodskyi,Hadiatska,Hadiach,22851
Poltavska,Myrhorodskyi,Hadiatska,Hrypaky,37
Poltavska,Myrhorodskyi,Hadiatska,Kharkivtsi,750
Poltavska,Myrhorodskyi,Hadiatska,Kiblytske,39
Poltavska,Myrhorodskyi,Hadiatska,Kruhlyk,150
Poltavska,Myrhorodskyi,Hadiatska,Kyiashkivske,98
Poltavska,Myrhorodskyi,Hadiatska,Kyivske,34
Poltavska,Myrhorodskyi,Hadiatska,Mali Budyshcha,441
Poltavska,Myrhorodskyi,Hadiatska,Orikhanove,6
Poltavska,Myrhorodskyi,Hadiatska,Osniahy,304
Poltavska,Myrhorodskyi,Hadiatska,Ostroverkhivka,164
Poltavska,Myrhorodskyi,Hadiatska,Petroselivka,14
Poltavska,Myrhorodskyi,Hadiatska,Pysarivshchyna,114
Poltavska,Myrhorodskyi,Hadiatska,Rudykiv,71
Poltavska,Myrhorodskyi,Hadiatska,Saranchova Dolyna,36
Poltavska,Myrhorodskyi,Hadiatska,Sary,2437
Poltavska,Myrhorodskyi,Hadiatska,Stepanenky,171
Poltavska,Myrhorodskyi,Hoholivska,Dakalivka,0
Poltavska,Myrhorodskyi,Hoholivska,Hoholeve,2465
Poltavska,Myrhorodskyi,Hoholivska,Hrianchykha,28
Poltavska,Myrhorodskyi,Hoholivska,Kulbashne,3
Poltavska,Myrhorodskyi,Hoholivska,Marianske,269
Poltavska,Myrhorodskyi,Hoholivska,Matiashivka,965
Poltavska,Myrhorodskyi,Hoholivska,Mykhailivka,619
Poltavska,Myrhorodskyi,Hoholivska,Pidluky,19
Poltavska,Myrhorodskyi,Hoholivska,Psilske,49
Poltavska,Myrhorodskyi,Hoholivska,Ustyvytsia,2150
Poltavska,Myrhorodskyi,Komyshnianska,Andriivka,99
Poltavska,Myrhorodskyi,Komyshnianska,Bakumivka,474
Poltavska,Myrhorodskyi,Komyshnianska,Bezvodivka,57
Poltavska,Myrhorodskyi,Komyshnianska,Buluky,30
Poltavska,Myrhorodskyi,Komyshnianska,Cherevky,662
Poltavska,Myrhorodskyi,Komyshnianska,Cherkashchany,524
Poltavska,Myrhorodskyi,Komyshnianska,Dibrivka,105
Poltavska,Myrhorodskyi,Komyshnianska,Hasenky,480
Poltavska,Myrhorodskyi,Komyshnianska,Hryhorivka,10
Poltavska,Myrhorodskyi,Komyshnianska,Kliushnykivka,521
Poltavska,Myrhorodskyi,Komyshnianska,Komyshnia,1954
